,基本形,品詞,スコア
0,zest,動詞,1
1,zest,名詞,1
2,zenith,名詞,1
3,worthy,名詞,1
4,worthy,形容詞,1
5,worthwhile,形容詞,1
6,worthiness,名詞,1
7,worth,名詞,1
8,worth,形容詞,1
9,workmanship,名詞,1
10,workable,形容詞,1
11,woo,動詞,1
12,wondrous,副詞,1
13,wondrous,形容詞,1
14,wonderful,形容詞,1
15,wonder,動詞,1
16,wonder,名詞,1
17,witty,形容詞,1
18,wise,名詞,1
19,wise,形容詞,1
20,wisdom,名詞,1
21,willingness,名詞,1
22,willing,名詞,1
23,willing,形容詞,1
24,willful,形容詞,1
25,wholesome,形容詞,1
26,whimsical,形容詞,1
27,well,副詞,1
28,well,名詞,1
29,well,形容詞,1
30,welfare,名詞,1
31,welcome,動詞,1
32,welcome,名詞,1
33,welcome,形容詞,1
34,warmth,名詞,1
35,warmhearted,形容詞,1
36,warm,動詞,1
37,warm,副詞,1
38,warm,形容詞,1
39,vouchsafe,動詞,1
40,voluntary,名詞,1
41,voluntary,形容詞,1
42,vivid,形容詞,1
43,vivacious,形容詞,1
44,vitality,名詞,1
45,visualization,名詞,1
46,visionary,名詞,1
47,visionary,形容詞,1
48,virtuous,形容詞,1
49,virtue,名詞,1
50,vigilant,形容詞,1
51,vigilance,名詞,1
52,victorious,形容詞,1
53,viable,形容詞,1
54,viability,名詞,1
55,versatility,名詞,1
56,versatile,形容詞,1
57,veritable,形容詞,1
58,verify,動詞,1
59,verification,名詞,1
60,venerate,動詞,1
61,venerable,形容詞,1
62,vastness,名詞,1
63,vanquish,動詞,1
64,value,動詞,1
65,value,名詞,1
66,valuable,名詞,1
67,valuable,形容詞,1
68,valor,名詞,1
69,validity,名詞,1
70,valid,形容詞,1
71,valiant,形容詞,1
72,uttermost,名詞,1
73,uttermost,形容詞,1
74,utilize,動詞,1
75,utilization,名詞,1
76,utilitarian,名詞,1
77,utilitarian,形容詞,1
78,usefulness,名詞,1
79,useful,形容詞,1
80,usable,形容詞,1
81,upward,副詞,1
82,upward,形容詞,1
